RecordType,BusinessID,BusinessName,Category,City,State,Country,Address,Phone,MailingAddress,Website,Email,Facebook,Instagram,Description,Cuisine,Latitude,Longitude,Rating,PriceLevel,ImageURL,ReservationMethod,ReservationPhone,ReservationURL,Tags,Service,Days,StartTimeLocal,EndTimeLocal,WindowName,IsSpecial,SpecialType,MenuID,MealPeriod,SectionID,SectionName,AvailabilityWindow,ItemID,ItemName,ItemDescription,Price,PriceType,Size,OptionGroupIDs,ItemTags,OptionGroupID,OptionGroupName,Required,MinSelections,MaxSelections,OptionName,OptionPriceDelta,OptionDescription,OptionTags,PolicyType,AgeMax,Notes,EventID,EventCategory,EventTitle,StartDate,StartTime,EndTime,Recurrence,ArtistName,EventDescription,Admission,EventPrice,Source
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_cooking_style,,,,,Grilled,0.00,Grilled to perfection,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_cooking_style,,,,,Blackened,0.00,Cajun blackened seasoning,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_cooking_style,,,,,Fried,0.00,Lightly breaded and fried,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_oyster_qty,,,,,Half Dozen,0.00,6 oysters,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_oyster_qty,,,,,Dozen,5.00,12 oysters (add $5),,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_wing_quantity,,,,,10 Wings,0.00,10 piece wings,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_wing_quantity,,,,,20 Wings,8.00,20 piece wings (add $8),,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_burger_toppings,,,,,Extra Cheese,1.50,Add cheddar cheese,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_burger_toppings,,,,,Bacon,2.00,Add crispy bacon,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_burger_toppings,,,,,Avocado,2.50,Add fresh avocado,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_burger_toppings,,,,,Mushrooms,1.50,Add sautéed mushrooms,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_sandwich_side,,,,,French Fries,0.00,Crispy seasoned fries,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_sandwich_side,,,,,Coleslaw,0.00,Creamy coleslaw,,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_sandwich_side,,,,,Onion Rings,2.00,Upgrade to onion rings (add $2),,,,,,,,,,,,,,,,,,
OPTION,example-restaurant,The Coastal Grill,restaurants,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,og_sandwich_side,,,,,Side Salad,2.00,Upgrade to side salad (add $2),,,,,,,,,,,,,,,,,,
